Restaurant: Savalan Pizza, address: Roihuvuorentie 28, 00820 Helsinki
Restaurant: Jamaican Mamas, address: Hämeentie 16, 00500 Helsinki
Restaurant: Revontuli, address: Kajaaninlinnantie 4, 00900 Helsinki
Restaurant: Café Tin Tin Tango, address: Töölöntorinkatu 7, 00260 Helsinki
Restaurant: Gaijin, address: Bulevardi 6, 00120 Helsinki
Restaurant: Pub Itämeren Helmi, address: Itämerenkatu 12, HELSINKI
Restaurant: Memphis Hesari, address: Kluuvikatu 8, 00100 Helsinki
Restaurant: Teatteriravintola Morkku Kansallisteatteri, address: Läntinen Teatterikuja 1, 00100 Helsinki
Restaurant: O'Gelis Bar, address: Torivoudintie 1, HELSINKI
Restaurant: Pekan ja Merjan Lounasmyymälä & Kahvio, address: Mannerheimintie 96, 00250 Helsinki
Restaurant: Zaza, address: Yliskyläntie 3, 00840 Helsinki
Restaurant: Leijuva Lahna, address: Eerikinkatu 14, HELSINKI
Restaurant: Lounasravintola Morningdeli, address: Hakuninmaantie 2, 00430 Helsinki
Restaurant: Hampuris Kyläsaarenkatu, address: Kyläsaarenkatu 9, 00580 Helsinki
Restaurant: Wanhan Tanssikellari, address: Mannerheimintie 3, 00100 Helsinki
Restaurant: Ravintola Frendi, address: Vanha Viertotie 10, HELSINKI
Restaurant: Pub Porthan, address: Porthaninkatu 10, HELSINKI
Restaurant: Scandic Simonkenttä, address: Simonkatu 9, HELSINKI
Restaurant: Bastion Deli, address: Kruunuvuorenkatu 9, 00160 Helsinki
Restaurant: Ravintola Lusikka, address: Lapinlahdenkatu 9, 00180 Helsinki
Restaurant: Factory Herttoniemi, address: hitsaajankatu 9 3krs,, 00810 Helsinki
Restaurant: Harbin, address: Tulppatie 18, 00880 Helsinki
Restaurant: A21 Dining, address: Kalevankatu 17, 00100 Helsinki
Restaurant: Bastis, address: Alvar aallon katu 3, 00100 Helsinki
Restaurant: Sodexo Erätauko, address: Radiokatu 20, 00240 Helsinki
Restaurant: Reissumies, address: Koulutanhua 6, 00840 Helsinki
Restaurant: Ravintola Wanha Rouva, address: Ostostie 4, HELSINKI
Restaurant: Aangan, address: Hietalahdenkatu 8, 00180 Helsinki
Restaurant: Carelia, address: Mannerheimintie 56, 00260 Helsinki
Restaurant: Mei Kitchen, address: Höyläämötie 11, 00380 Helsinki
Restaurant: Lounasravintola Café Klaffi, address: Ruosilantie 1, 00390 Helsinki
Restaurant: Natural Flavour Tea House, address: Mikonkatu 8 (Aikatalo, street level), 00100 Helsinki
Restaurant: Ravintola Arabianranta, address: Hämeentie 135 A, 00560 Helsinki
Restaurant: Treffipub, address: Hiihtomäentie 14, HELSINKI
Restaurant: Bar & Cafe Mister X, address: Keinulaudankuja 4 Lh 4, HELSINKI
Restaurant: Lehtovaara, address: Mechelininkatu 39, 00250 Helsinki
Restaurant: Smoothie & Coffee House, address: Pasilan asema, 00520 Helsinki
Restaurant: Amica Hanken, address: Arkadiankatu 22, 00100 Helsinki
Restaurant: Kioski-kahvio, address: Hämeentie 85, 00550 Helsinki
Restaurant: Dragon Spring, address: Urho Kekkosen katu 4-6, 00100 Helsinki
Restaurant: Rastila Express, address: Meri-Rastilan tie 4, 00980 Helsinki
Restaurant: Ravintola Seitsemän Veljestä, address: Aleksis Kiven Katu 80, HELSINKI
Restaurant: Kotipizza Helsinki - Töölö, address: Topeliuksenkatu 21, 00250 Helsinki
Restaurant: Viikinkiravintola Harald, address: Aleksanterinkatu 21, 00100 Helsinki
Restaurant: Woolshed, address: Töölönlahdenkatu 3 A 1, 00100 Helsinki
Restaurant: Farang, address: Ainonkatu 3, 00100 Helsinki
Restaurant: Ravintola Jun Tara, address: Fredrikinkatu 47, 00100 Helsinki
Restaurant: Pizzeria Rif, address: Humikkalanrinne 1, 00940 Helsinki
Restaurant: Ravintola Savoy, address: Eteläesplanadi 14, HELSINKI
Restaurant: Blinit, address: Sturenkatu 9, 00510 Helsinki
Restaurant: Salud Bar, address: Konalantie 2, HELSINKI
Restaurant: Stadin Kebab, Iso Roobertinkatu, address: Iso Roobertinkatu 15, 00120 Helsinki
Restaurant: Manhattan Steak House Forum, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Queen Sheba, address: Mechelininkatu 8, 00100 Helsinki
Restaurant: Dansan Deli, address: Vattuniemenkatu 13, 00210 Helsinki
Restaurant: Kiinalainen Ravintola Jing Cheng, address: Eteläinen Hesperiankatu 6, 00100 Helsinki
Restaurant: Schenker Taverna, address: Metsäläntie 2, 00620 Helsinki
Restaurant: Eira-Plaza, address: Jääkärinkatu 15, 00150 Helsinki
Restaurant: Ravintola Kolme Kaisaa, address: Hämeentie 29, HELSINKI
Restaurant: Ravintola Tähti, address: Niemenmäentie 2 M 5, 00350 Helsinki
Restaurant: Casa Largo, address: Asema-Aukio 2, 00100 Helsinki
Restaurant: Ravintola Meri Pub, address: Haapaniemenkatu 14 A, HELSINKI
Restaurant: Pitäjänmäen Pizzapalvelu, address: Pitäjänmäentie 15, 00370 Helsinki
Restaurant: Cafe Terminus, address: Katajanokka K 8, 00160 Helsinki
Restaurant: Kirstin Keidas, address: Kirstinkatu 1, 00530 Helsinki
Restaurant: Kitty's Public House, address: Keskuskatu 6, HELSINKI
Restaurant: Ravintola Aino, address: Pohjoisesplanadi 21, 00100 Helsinki
Restaurant: Storyville, address: Museokatu 8, 00100 Helsinki
Restaurant: Gringos Locos Helsinki, address: Mannerheimintie 17, 00250 Helsinki
Restaurant: Kokki, address: Prinsessantie 2, 00820 Helsinki
Restaurant: Pivnice Milenka, address: Haapaniemenkatu 3-5, 00530 Helsinki
Restaurant: Ravintola Huvipursi, address: Pursimiehenkatu 27, HELSINKI
Restaurant: Subway Mäkelänkatu, address: Mäkelänkatu 31, 00550 Helsinki
Restaurant: Sauna Vogue, address: Sturenkatu 27 A 5.krs, HELSINKI
Restaurant: Presto, address: Eteläesplanadi 14, 00130 Helsinki
Restaurant: Hard Rock House, address: Roihuvuorentie 1, 00820 Helsinki
Restaurant: Iltatähti, address: Siilitie 9, 00800 Helsinki
Restaurant: William K. Mannerheimintie, address: mannerheimintie 72, 00250 Helsinki
Restaurant: Stadin Tähti, address: Mäkelänkatu 2, 00500 Helsinki
Restaurant: Winebar Vin-Vin, address: Kalevankatu 6, HELSINKI
Restaurant: Pizza Service Haaga, address: Huovitie 6, 00400 Helsinki
Restaurant: Cafe Del Mar, address: Viides linja 16, 00530 Helsinki
Restaurant: Ravintola Käpygrilli, address: Osmontie 5, HELSINKI
Restaurant: Cafe Express, address: Ratapihantie 6, 00520 Helsinki
Restaurant: One Tiny Champagne Bar, address: Pohjoisesplanadi 41, 00100 Helsinki
Restaurant: Pizza Express - Vallila, address: Hämeentie 81-83D, 00550 Helsinki
Restaurant: Cafè A Snellman, address: Vanha Kauppahalli, Eteläranta 1, 00130 Helsinki
Restaurant: Bar KallioHovi, address: Vaasankatu 17, HELSINKI
Restaurant: Kafe Moskova, address: Eerikinkatu 11, HELSINKI
Restaurant: Robert's Coffee Itis Bulevardi, address: Itäkatu 1, HELSINKI
Restaurant: Ravintola Taz, address: Aleksis Kiven katu 40, 00510 Helsinki
Restaurant: Mesikeidas, address: Haapaniemenkatu 3, 00530 Helsinki
Restaurant: McDonald's Pukinmäki, address: Pukinmäenkaari 55, 00720 Helsinki
Restaurant: Picnic Kamppi, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Mäkikupla Ravintola & Pub, address: Torkkelinkatu 2, HELSINKI
Restaurant: Ravintola Thai Hut, address: Vilhonvuorenkatu 5, 00500 Helsinki
Restaurant: Unicafe Olivia, address: Siltavuorenpenger 20 R, 00170 Helsinki
Restaurant: Bar Mendocino, address: Eerikinkatu 28, HELSINKI
Restaurant: Wossikka, address: Sulkapolku 3, 00370 Helsinki
Restaurant: Stadin Chili Kebab (Hansasilta), address: Hansakuja, 00900 Helsinki
Restaurant: City Kebab, address: Vaasankatu 19, 00500 Helsinki
Restaurant: Bravuria Helsinki Salomonkatu, address: Salomonkatu 1, HELSINKI
Restaurant: Abin Baari Oy, address: Kamppiaistentie 12, HELSINKI
Restaurant: Ravintola Kurjenlento, address: Fleminginkatu 11, HELSINKI
Restaurant: Thai O cha, address: Mannerheimintie 49, 00250 Helsinki
Restaurant: PRKL Club, address: Kaisaniemenkatu 4, HELSINKI
Restaurant: Chico's Bulevardi, address: Hietalahdenranta 5 C, 00120 Helsinki
Restaurant: Ravintola Kappeli, address: Eteläesplanadi 1, HELSINKI
Restaurant: Malmin Grilli-Kioski, address: 
Restaurant: cafe rouge, address: urho kekkosen katu 4-6, 00100 Helsingfors
Restaurant: Cafe Talo, address: Hämeentie 2 b, 00530 Helsinki
Restaurant: Hesburger Munkkiniemi, address: Tietokuja 7, 00330 Helsinki
Restaurant: Ravintola Simonkatu, address: Simonkatu 9, 00100 Helsinki
Restaurant: Palmenia, address: Nilsiänkatu 3, 00510 Helsinki
Restaurant: Ravintola Ristorante daVinci, address: Mannerheimintie 22-24, HELSINKI
Restaurant: Ravintola Viola, address: Ruoholahdenranta 3, HELSINKI
Restaurant: Wall St. Bar, address: Ateneuminkuja 4, HELSINKI
Restaurant: Chjoko, address: Liisankatu 9, 00170 Helsinki
Restaurant: Ramona, address: Vanha Talvitie 10, 00580 Helsinki
Restaurant: Subway Konala, address: Ajomiehentie 1, 00390 Helsinki
Restaurant: Helsinki Underground Bar, address: Mikonkatu 13, HELSINKI
Restaurant: Antell-ravintola Vallilan Akseli, address: Lemuntie 3-5, 00510 Helsinki
Restaurant: Tre, address: Tulisuotie 5, 00820 Helsinki
Restaurant: Bar Fellows, address: Mannerheimintie 64, HELSINKI
Restaurant: Chilli Asematunneli, address: Asematunneli, 00100 Helsinki
Restaurant: Fazer Café Citycenter, address: Kaivokatu 8, 00100 Helsinki
Restaurant: Pizza Hut Tennispalatsi, address: Fredrikinkatu 65, 00100 Helsinki
Restaurant: GLO Art Kitchen, address: Lönnrotinkatu 29, 00180 Helsinki
Restaurant: Marian konditoria Kaisaniemi, address: Kaisaniemenkatu 5, 00100 Helsinki
Restaurant: Ravintola Zorbas, address: Läntinen Brahenkatu 4 A, HELSINKI
Restaurant: The Pullman Bar, address: Helsingin Rautatieasema, HELSINKI
Restaurant: Ristorante Centro, address: Tulisuontie 1, 00820 Helsinki
Restaurant: Hampuris Metsälä, address: Niittylänpolku, 00620 Helsinki
Restaurant: Marikahvila, address: Pohjoisesplanadi 33, 00100 Helsinki
Restaurant: Coffee House Kannelmäki, address: Kantelettarentie 1, 00420 Helsinki
Restaurant: Manteli Triotto, address: Läkkisepäntie 21, 00620 Helsinki
Restaurant: Helsingin leipä Oy, address: Hakaniemen metroasema, 00530 Helsinki
Restaurant: Evin, address: Ajurinaukio 5, 00750 Helsinki
Restaurant: Subway Porthaninkatu, address: Porthaninkatu 7, 00530 Helsinki
Restaurant: Karaoke Bar Anna K, address: Annankatu 23, HELSINKI
Restaurant: Ravintola Baran, address: Hollantilaisentie 32, 00330 Helsinki
Restaurant: Pikku Eerikin Pippuri, address: Eerikinkatu 17, 00100 Helsinki
Restaurant: Fafa's Sörkka, address: Vilhonvuorenkatu 10, 00500 Helsinki
Restaurant: Kahvila Roi, address: Roihuvuorentie 9, 00820 Helsinki
Restaurant: Kolme Kruunua, address: Liisankatu 5, 00170 Helsinki
Restaurant: Ravintola Gatehouse, address: Komentosilta 1, 00980 Helsinki
Restaurant: Verde, address: Elielinaukio 5, 00100 Helsinki
Restaurant: Picnic Runeberginkatu 46, address: Runeberginkatu 46, 00260 Helsinki
Restaurant: Ravintola Kuu, address: Töölönkatu 27, HELSINKI
Restaurant: K-supermarket Take Away Kamppi, address: Urhokekkosenkatu 1, 00100 Helsinki
Restaurant: Pihlis Pizzeria, address: Meripihkantie 1, 00710 Helsinki
Restaurant: Happy Food Garden, address: Kalevankatu 23, 00100 Helsinki
Restaurant: Mmaku, address: Mannerheimintie 25, 00250 Helsinki
Restaurant: Ciao!Caffe, Columbus, address: Vuotie 45, 00980 Helsinki
Restaurant: East Memo, address: Pasilankatu 8, 00240 Helsinki
Restaurant: Pueblo Bar y Taqueria, address: Eerikinkatu 27, 00180 Helsinki
Restaurant: Espressobaari Mannerheimintie 6, address: Mannerheimintie 6, 00100 Helsinki
Restaurant: Punainen Aurinko, address: Mäkelänkatu 45, 00550 Helsinki
Restaurant: Fratello Torrefazione, address: Yliopistonkatu 6, 00100 Helsinki
Restaurant: Pikkudami, address: pitkänsillanranta 2, 00530 Helsinki
Restaurant: Pressa, address: Eteläinen Rautatiekatu 4, HELSINKI
Restaurant: Ravintola Kulosaaren Casino, address: Hopeasalmenpolku 1, HELSINKI
Restaurant: City China, address: Vuorikatu 14, 00100 Helsinki
Restaurant: Little Big Cafe 2nd Jätkäsaari [Verkkokauppa.com 2. krs], address: Tyynenmerenkatu 11, 00220 Helsinki
Restaurant: Ravintola Thai-China, address: Melkonkatu 28, 00210 Helsinki
Restaurant: The Pit Stop, address: Rödje-Fantsin tie 2, 00890 Helsinki
Restaurant: Hesburger Ruoholahti, address: Porkkalankatu 9-11, 00180 Helsinki
Restaurant: Café Corelli, address: Ruosilankuja 3 A, 00390 Helsinki
Restaurant: Uusipallo, address: Käenkuja 8 C 34 a c/o Tili-Beta Oy, HELSINKI
Restaurant: Döner Harju, address: Fleminginkatu 23, 00500 Helsinki
Restaurant: Ravintola Puro, address: Malminrinne 6 E, 8. krs, 00100 Helsinki
Restaurant: Putte's Bar & Pizzeria, address: Kalevankatu 6, 00100 Helsinki
Restaurant: Robert's Coffee Töölöntori, address: Töölöntori, 00260 Helsinki
Restaurant: ABC Vuosaaren satama, address: Rahtarinkatu 2, 00980 Helsinki
Restaurant: Grotesk, address: Ludviginkatu 8-10, 00130 Helsinki
Restaurant: Kulosaaren Casino, address: Hopeasalmenpolku 1, 00570 Helsinki
Restaurant: Mountain, address: Nordenskiöldinkatu 8, 00250 Helsinki
Restaurant: Ravintola Puisto, address: Pohjolankatu 38, 00610 Helsinki
Restaurant: Ravintola Katsomo, address: Kasarmikatu 46-48, 00130 Helsinki
Restaurant: Ravintola Saba, address: Hämeentie 7, 00530 Helsinki
Restaurant: Prikhom, address: Mikonkatu 8 A, 00100 Helsinki
Restaurant: Iguana Mannerheimintie, address: Mannerheimintie 12, 00100 Helsinki
Restaurant: McDonald's Kamppi, address: Fredrikinkatu 46, 00100 Helsinki
Restaurant: Samrat, address: Eteläesplanadi 22, 00130 Helsinki
Restaurant: Ravintola Moon Light, address: 3. linja 6, HELSINKI
Restaurant: Motellet, address: Annankatu 10, 00120 Helsinki
Restaurant: Amarillo Mikonkatu, address: Mikonkatu 9, 00100 Helsinki
Restaurant: Ravintola Say Delicious, address: Kolmas linja 18, 00530 Helsinki
Restaurant: Savor Vallila, address: Elimäenkatu 25-27, 00510 Helsinki
Restaurant: Ravintola Väentupa, address: Olavinkatu 1, 00100 Helsinki
Restaurant: Cafe Faster, address: Itäkatu 1-5 B, 00930 Helsinki
Restaurant: F8 Café, Stockmann 8. krs, address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: Picnic Forum - Kukontori, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop City-Center, address: Kaivokatu 8, Asematunneli, 00100 Helsinki
Restaurant: Srinakhon Ravintola, address: Vuorimiehenkatu 12, 00140 Helsinki
Restaurant: Mardin Pizzeria, address: Isonnevantie 24 B/B9, 00320 Helsinki
Restaurant: Huacheng, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Kivitorppa, address: Raumantie 1, 00350 Helsinki
Restaurant: Käpylän Pizza & Kebab Palvelu, address: Käpyläntie 8, 00600 Helsinki
Restaurant: Pizzataxi Ruoholahti, address: Itämerenkatu 12, 00180 Helsinki
Restaurant: Café Esplanad, address: Pohjoisesplanadi 37, 00100 Helsinki
Restaurant: Namaskaar Express, Kamppi, address: Kampin ostoskeskus, katutaso, 00100 Helsinki
Restaurant: Oluthuone Kaisla, address: Vilhonkatu 4, 00100 Helsinki
Restaurant: La Crêperie Tram Café, address: Aleksantenrikatu 23, 00100 Helsinki
Restaurant: Teranga, address: Tähtitorninkatu 18, 00140 Helsinki
Restaurant: Ravintola Juttutupa, address: Säästöpankinranta 6, HELSINKI
Restaurant: Fuku, address: Fredrikinkatu 36, 00100 Helsinki
Restaurant: Ravintola Ratakivi, address: Ratapihantie 11, 00520 Helsinki
Restaurant: Mt. Everest, address: Lapinlahdenkatu 17, 00180 Helsinki
Restaurant: Vivapizza, address: Puustellinpolku 25, 00410 Helsinki
Restaurant: KGB-Club Karaoke & Disco, address: Hallituskatu 3, HELSINKI
Restaurant: Robert's Coffee City-Käytävä, address: Aleksanterinkatu 21, 00100 Helsinki
Restaurant: Klass Pizza Kebab, address: Vuolukiventie 7, 00710 Helsinki
Restaurant: Fubuki Sushi, address: Pursimiehenkatu 8, 00150 Helsinki
Restaurant: Unicafe Valtiotiede, address: Unioninkatu 37, 00170 Helsinki
Restaurant: Linjurin Grilli, address: Linja-autoasema, 00100 Helsinki
Restaurant: Mario's, address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: Flying Dutch / Pikku Dami, address: Pitkänsillanranta, 00530 Helsinki
Restaurant: Golden Classics Car Show & Cafe, address: Tyynenmerenkatu 6, HELSINKI
